FEATURE,units,MIN_model,MIN_company,MIN_value,MEAN_model,MEAN_company,MEAN_value,MAX_model,MAX_company,MAX_value
Wing_Span,ft,182S ('97 & up),Cessna Aircraft Company,16.0,TBM 850,EADS Socata Aircraft,41.4,Global 7500,Bombardier Aerospace Business Aircraft,104.0
Length,ft,M18 Mite,Mooney Aircraft,17.6,PA-31P-350 Mojave,Piper Aircraft,34.5,Lineage 1000,Embraer Aircraft - Empresa Brasileira,118.9
Height,ft,A-2,Aircoupe-Alon,5.1,421 - A & B,Cessna Aircraft Company,11.3,Lineage 1000,Embraer Aircraft - Empresa Brasileira,33.8
THR,lbf,Acclaim Ultra (M20V),Mooney Aircraft,280.0,Hawker 750,Hawker Beechcraft,5458.3,Global 7500,Bombardier Aerospace Business Aircraft,18920.0
SHP,HP,7ACA,American Champion Aircraft Corporation,60.0,58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Beechcraft (Hawker Beechcraft),314.8,GI (G-159) ceiling quoted w/APU,Gulfstream Aerospace,1950.0
AUW,lb,M18 Mite,Mooney Aircraft,850.0,Merlin II A,Fairchild M7 Aerospace,9754.5,Lineage 1000,Embraer Aircraft - Empresa Brasileira,120152.0
MEW,lb,M18 Mite,Mooney Aircraft,575.0,"MU-2B,-2D (-2D=9,350 gross weight)",Mitsubishi Diamond,5724.6,Lineage 1000,Embraer Aircraft - Empresa Brasileira,70841.0
FW,lb,J-3 Cub,Piper Aircraft,60.3,EMB-110P1A Bandeirante (specs=110P1/41),Embraer Aircraft - Empresa Brasileira,2905.5,Lineage 1000,Embraer Aircraft - Empresa Brasileira,48217.0
Vmax,knots,J-3 Cub,Piper Aircraft,76.0,T 310 Q turbocharged,Cessna Aircraft Company,238.1,Global 7500,Bombardier Aerospace Business Aircraft,617.0
Vcruise,knots,DW-1 (ag plane),Eagle,57.0,"C 90,C90-1 (-1 has increased speed)",Beechcraft (Hawker Beechcraft),216.7,Global 7500,Bombardier Aerospace Business Aircraft,566.9
Vstall,knots,Sport Cub,"Cubcrafters, Inc.",27.0,"GA-7 Cougar (twin) '77 svc. ceils=18,300 &4,900",American General Aircraft,63.4,G500,Gulfstream Aerospace,127.9
Range,N.m.,G164A-275 AG CAT,Ag Cat Corp,117.0,414 pressurized-turbocharged,Cessna Aircraft Company,1088.9,Global 7500,Bombardier Aerospace Business Aircraft,7700.0
Hmax,ft,108-3,Stinson,850.0,PA-60-700P Aerostar (preliminary),Aerostar Aircraft Corporation,25012.5,Global 7500,Bombardier Aerospace Business Aircraft,51000.0
Hmax_(One),ft,108-3,Stinson,1400.0,Katana DA20-C1,Diamond Aircraft,17581.6,Jetstar II,Lockheed Martin Aircraft,38866.4
ROC,ft/min,G164B-450 (hopper=325 gal),Ag Cat Corp,246.2,S-2R-T34-Turbo (400 gal hopper),Ayres Corp.,1727.6,"24 E (prior to '77=12,499 gross)",Bombardier Aerospace Business Aircraft,7220.0
ROC_(One),ft/min,DA62,Diamond Aircraft,90.1,TU 206G II Stationair 6 (float),Cessna Aircraft Company,833.9,JetProp DLX,Rocket Engineering / JetPROP LLC,3000.0
Vlo,ft,"F-21,F-21A (-21A=40 gal fuel + empty wgt=1,000)",Taylorcraft Inc.,350.0,DW-1 (ag plane),Eagle,2255.1,Global 6000,Bombardier Aerospace Business Aircraft,8073.9
Slo,ft/min,11 CC Super Chief,Aeronca,26.2,G 18 Super Twin Beech,Beechcraft (Hawker Beechcraft),1590.7,Global 6000,Bombardier Aerospace Business Aircraft,6476.0
Vl,ft,Cessna 188,Sierra Industries,300.0,"T 310 R, II turbocharged",Cessna Aircraft Company,1788.6,GI (G-159) ceiling quoted w/APU,Gulfstream Aerospace,4886.6
Sl,ft/min,8GCBC (max speed w/8047 fixed-pitch prop),American Champion Aircraft Corporation,104.4,Cessna 421B,Sierra Industries,1101.2,Citation X+,Cessna Aircraft Company,4702.0
